No.	Title	Year	Conf	Citations	Selected	Unselected reason
1	Automating bug report assignment	2006		89	*	Short paper
2	Who should fix this bug?	2006		895	¡Ì	
3	A bug you like: A framework for automated assignment of bugs	2009		62	*	Short paper
4	"Automated, highly-accurate, bug assignment using machine learning and tossing graphs"	2012		85	¡Ì	
5	Improving bug triage with bug tossing graphs	2009		362	¡Ì	
6	An empirical study on bug assignment automation using Chinese bug data	2009		37	*	Short paper
7	Reviewer recommendation for pull-requests in github: What can we learn from code review and bug assignment?	2016		65	*	Unrelated
8	Automated bug assignment: Ensemble-based machine learning in large scale industrial contexts	2016		41	¡Ì	
9	Automatic bug assignment using information extraction methods	2012	ACSAT	19	*	Poor quality
10	An Approach to Improving Bug Assignment with Bug Tossing Graphs and Bug Similarities.	2011	JOURNAL OF SOFTWARE	18	*	Short paper
11	Selecting discriminating terms for bug assignment: a formal analysis	2011		20	*	Unrelated
12	Coping with an open bug repository	2005	OOPSLA workshop on Eclipse technology eXchange	226	*	Poor quality
13	Why so complicated? simple term filtering and weighting for location-based bug report assignment recommendation	2013	MSR	79	¡Ì	
14	Costriage: A cost-aware triage algorithm for bug reporting systems	2011		69	¡Ì	
15	"Topic-based, time-aware bug assignment"	2014		12	*	Unrelated
16	Assigning bug reports using a vocabulary-based expertise model of developers	2009	MSR	204	*	Unrelated
17	Efficient bug triaging using text mining	2013		37	*	Short paper
18	A market-based bug allocation mechanism using predictive bug lifetimes	2012		30	*	Bug lifetime
19	Improving bug assignment with bug tossing graphs and bug similarities	2010		8	*	Poor quality
20	A time-based approach to automatic bug report assignment	2015	JSS	25	¡Ì	
21	Fuzzy set-based automatic bug triaging (NIER track)	2011		49	*	Duplicate
22	The impact of bug management patterns on bug fixing: A case study of Eclipse projects	2012		23	*	Unrelated
23	An empirical study on factors impacting bug fixing time	2012		45	*	Unrelated
24	Tram: An approach for assigning bug reports using their metadata	2013		19	*	Poor quality
25	Bug report assignee recommendation using activity profiles	2013		51	¡Ì	
26	Fuzzy set and cache-based approach for bug triaging	2011		108	¡Ì	
27	Optimized assignment of developers for fixing bugs an initial evaluation for eclipse projects	2009		45	*	Short paper
28	Effective bug triage based on historical bug-fix information	2014		32	¡Ì	
29	Bug fixing practices within free/libre open source software development teams	2008		78	*	Unrelated
30	Bug prioritization to facilitate bug report triage	2012		35	*	Unrelated
31	Assisting bug triage in large open source projects using approximate string matching	2012		14	*	Short paper
32	Predicting the severity of a reported bug	2010		222	*	Unrelated
33	Coordination practices within FLOSS development teams: The bug fixing process.	2004		24	*	Unrelated
34	Fine-grained incremental learning and multi-feature tossing graphs to improve bug triaging	2010		110	¡Ì	
35	Predicting Bugs' Components via Mining Bug Reports.	2012		10	*	Unrelated
36	Towards training set reduction for bug triage	2011	COMPSAC	37	*	Poor quality
37	Porchlight: A tag-based approach to bug triaging	2013		23	¡Ì	
38	KSAP: An approach to bug report assignment using KNN search and heterogeneous proximity	2016		13	¡Ì	
39	Learning to classify bug reports into components	2012		20	*	Unrelated
40	Bug tracking and reliability assessment system (btras)	2011		18	*	Unrelated
41	Reducing the effort of bug report triage: Recommenders for development-oriented decisions	2011		201	¡Ì	
42	A comparative study on the effectiveness of part-of-speech tagging techniques on bug reports	2015		29	*	Unrelated
43	Search-based resource scheduling for bug fixing tasks	2010		20	*	Unrelated
44	Comparing mining algorithms for predicting the severity of a reported bug	2011		140	*	Unrelated
45	Improving automatic bug assignment using time-metadata in term-weighting	2014		4	*	Poor quality
46	WhoseFault: automatic developer-to-fault assignment through fault localization	2012		47	*	Unrelated
47	A semi-automatic approach for workflow staff assignment	2008		47	*	Unrelated
48	Crowdsourced bug triaging	2015		6	*	Poor quality
49	Automatic bug triage using semi-supervised text classification	2017		73	*	Poor quality
50	Heavy truck bug and gravel shield	1994		73	*	Published before 2004
